Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length
"Done Dirt Cheap","Black Moon Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/112008882/done-dirt-cheap,-1.0,-1,Boulder,V5,1,15
"Mulligan Stew","Black Moon Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/112008956/mulligan-stew,-1.0,-1,Boulder,V6,1,18
"Yellow Bruce Lee Tags (at the back of the gym)","Yellow Bruce Lee Tags Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/113700856/yellow-bruce-lee-tags-at-the-back-of-the-gym,1.0,-1,Boulder,V5,1,15
"Ride the Lightning","Lightning Boulder > Undiscovered Country > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/105997125/ride-the-lightning,3.9,-1,Boulder,"V0+ R",1,30
"Daddy's Little Helper","Knobby Boulder > Undiscovered Country > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106484766/daddys-little-helper,1.0,-1,Boulder,V1,1,15
"Knobby Face","Knobby Boulder > Undiscovered Country > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/105997142/knobby-face,2.0,-1,Boulder,V2-3,1,10
"Black Prince","Black Cauldron Boulder > Undiscovered Country > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106200539/black-prince,2.2,-1,Boulder,V3-,1,12
"Black Cauldron","Black Cauldron Boulder > Undiscovered Country > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106200545/black-cauldron,2.7,-1,Boulder,V4,1,12
Elasticity,"Black Cauldron Boulder > Undiscovered Country > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106201314/elasticity,1.0,-1,Boulder,V5,1,12
Gemini,"Cassieopeia Boulder > Undiscovered Country > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106201348/gemini,1.5,-1,Boulder,V-easy,1,12
Cassieopeia,"Cassieopeia Boulder > Undiscovered Country > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106201337/cassieopeia,1.0,-1,Boulder,V0,1,12
Entropy,"Cassieopeia Boulder > Undiscovered Country > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106201353/entropy,1.5,-1,Boulder,V1,1,12
Cepheus,"Cassieopeia Boulder > Undiscovered Country > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106201373/cepheus,1.0,-1,Boulder,V2,1,12
"The Wormhole","Wormhole Boulder > Undiscovered Country > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106201913/the-wormhole,2.0,-1,Boulder,V3,1,15
Messylepica,"Messylepica Boulder > Undiscovered Country > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106201960/messylepica,1.0,-1,Boulder,V0,1,8
